class,arid,airport,condition,parameter,type,season,value
22,"-","-",normal,soil_heat,USGS,winter without snow,0.15
23,"-","-",normal,soil_heat,USGS,winter without snow,0.15
24,"-","-",normal,soil_heat,USGS,winter without snow,0.15
31,"-","-",normal,soil_heat,USGS,winter without snow,0.15
32,"-","-",normal,soil_heat,USGS,winter without snow,0.15
33,"-","-",normal,soil_heat,USGS,winter without snow,0.15
41,"-","-",normal,soil_heat,USGS,winter without snow,0.15
42,"-","-",normal,soil_heat,USGS,winter without snow,0.15
43,"-","-",normal,soil_heat,USGS,winter without snow,0.15
51,"-","-",normal,soil_heat,USGS,winter without snow,1
52,"-","-",normal,soil_heat,USGS,winter without snow,1
53,"-","-",normal,soil_heat,USGS,winter without snow,1
54,"-","-",normal,soil_heat,USGS,winter without snow,1
55,"-","-",normal,soil_heat,USGS,winter without snow,1
61,"-","-",normal,soil_heat,USGS,winter without snow,0.25
62,"-","-",normal,soil_heat,USGS,winter without snow,0.25
71,"-","-",normal,soil_heat,USGS,winter without snow,0.15
72,"-","-",normal,soil_heat,USGS,winter without snow,0.15
73,"-","-",normal,soil_heat,USGS,winter without snow,0.15
74,"-","-",normal,soil_heat,USGS,winter without snow,0.15
75,"-","-",normal,soil_heat,USGS,winter without snow,0.15
76,"-","-",normal,soil_heat,USGS,winter without snow,0.15
77,"-","-",normal,soil_heat,USGS,winter without snow,0.15
81,"-","-",normal,soil_heat,USGS,winter without snow,0.15
82,"-","-",normal,soil_heat,USGS,winter without snow,0.15
83,"-","-",normal,soil_heat,USGS,winter without snow,0.15
84,"-","-",normal,soil_heat,USGS,winter without snow,0.15
85,"-","-",normal,soil_heat,USGS,winter without snow,0.15
91,"-","-",normal,soil_heat,USGS,winter without snow,0.15
92,"-","-",normal,soil_heat,USGS,winter without snow,0.15
11,"-","-",normal,soil_heat,USGS,winter with snow,0.15
12,"-","-",normal,soil_heat,USGS,winter with snow,0.15
13,"-","-",normal,soil_heat,USGS,winter with snow,0.15
14,"-","-",normal,soil_heat,USGS,winter with snow,0.15
15,"-","-",normal,soil_heat,USGS,winter with snow,0.15
16,"-","-",normal,soil_heat,USGS,winter with snow,0.15
17,"-","-",normal,soil_heat,USGS,winter with snow,0.15
21,"-","-",normal,soil_heat,USGS,winter with snow,0.15
22,"-","-",normal,soil_heat,USGS,winter with snow,0.15
23,"-","-",normal,soil_heat,USGS,winter with snow,0.15
24,"-","-",normal,soil_heat,USGS,winter with snow,0.15
31,"-","-",normal,soil_heat,USGS,winter with snow,0.15
32,"-","-",normal,soil_heat,USGS,winter with snow,0.15
33,"-","-",normal,soil_heat,USGS,winter with snow,0.15
41,"-","-",normal,soil_heat,USGS,winter with snow,0.15
42,"-","-",normal,soil_heat,USGS,winter with snow,0.15
43,"-","-",normal,soil_heat,USGS,winter with snow,0.15
51,"-","-",normal,soil_heat,USGS,winter with snow,0.15
52,"-","-",normal,soil_heat,USGS,winter with snow,0.15
53,"-","-",normal,soil_heat,USGS,winter with snow,0.15
54,"-","-",normal,soil_heat,USGS,winter with snow,0.15
55,"-","-",normal,soil_heat,USGS,winter with snow,0.15
61,"-","-",normal,soil_heat,USGS,winter with snow,0.15
62,"-","-",normal,soil_heat,USGS,winter with snow,0.15
71,"-","-",normal,soil_heat,USGS,winter with snow,0.15
72,"-","-",normal,soil_heat,USGS,winter with snow,0.15
73,"-","-",normal,soil_heat,USGS,winter with snow,0.15
74,"-","-",normal,soil_heat,USGS,winter with snow,0.15
75,"-","-",normal,soil_heat,USGS,winter with snow,0.15
76,"-","-",normal,soil_heat,USGS,winter with snow,0.15
77,"-","-",normal,soil_heat,USGS,winter with snow,0.15
81,"-","-",normal,soil_heat,USGS,winter with snow,0.15
82,"-","-",normal,soil_heat,USGS,winter with snow,0.15
83,"-","-",normal,soil_heat,USGS,winter with snow,0.15
84,"-","-",normal,soil_heat,USGS,winter with snow,0.15
85,"-","-",normal,soil_heat,USGS,winter with snow,0.15
91,"-","-",normal,soil_heat,USGS,winter with snow,0.15
92,"-","-",normal,soil_heat,USGS,winter with snow,0.15
11,"-","-",normal,soil_heat,USGS,spring,0.2
12,"-","-",normal,soil_heat,USGS,spring,0.25
13,"-","-",normal,soil_heat,USGS,spring,0.25
14,"-","-",normal,soil_heat,USGS,spring,0.25
15,"-","-",normal,soil_heat,USGS,spring,0.25
16,"-","-",normal,soil_heat,USGS,spring,0.25
17,"-","-",normal,soil_heat,USGS,spring,0.25
21,"-","-",normal,soil_heat,USGS,spring,0.15
22,"-","-",normal,soil_heat,USGS,spring,0.15
23,"-","-",normal,soil_heat,USGS,spring,0.15
24,"-","-",normal,soil_heat,USGS,spring,0.15
31,"-","-",normal,soil_heat,USGS,spring,0.15
32,"-","-",normal,soil_heat,USGS,spring,0.15
33,"-","-",normal,soil_heat,USGS,spring,0.15
41,"-","-",normal,soil_heat,USGS,spring,0.15
42,"-","-",normal,soil_heat,USGS,spring,0.15
43,"-","-",normal,soil_heat,USGS,spring,0.15
51,"-","-",normal,soil_heat,USGS,spring,1
52,"-","-",normal,soil_heat,USGS,spring,1
53,"-","-",normal,soil_heat,USGS,spring,1
54,"-","-",normal,soil_heat,USGS,spring,1
55,"-","-",normal,soil_heat,USGS,spring,1
61,"-","-",normal,soil_heat,USGS,spring,0.25
62,"-","-",normal,soil_heat,USGS,spring,0.25
71,"-","-",normal,soil_heat,USGS,spring,0.15
72,"-","-",normal,soil_heat,USGS,spring,0.15
73,"-","-",normal,soil_heat,USGS,spring,0.15
74,"-","-",normal,soil_heat,USGS,spring,0.15
75,"-","-",normal,soil_heat,USGS,spring,0.15
76,"-","-",normal,soil_heat,USGS,spring,0.15
77,"-","-",normal,soil_heat,USGS,spring,0.15
81,"-","-",normal,soil_heat,USGS,spring,0.15
82,"-","-",normal,soil_heat,USGS,spring,0.15
83,"-","-",normal,soil_heat,USGS,spring,0.15
84,"-","-",normal,soil_heat,USGS,spring,0.15
85,"-","-",normal,soil_heat,USGS,spring,0.15
91,"-","-",normal,soil_heat,USGS,spring,0.15
92,"-","-",normal,soil_heat,USGS,spring,0.15
11,"-","-",normal,soil_heat,USGS,summer,0.2
12,"-","-",normal,soil_heat,USGS,summer,0.25
13,"-","-",normal,soil_heat,USGS,summer,0.25
14,"-","-",normal,soil_heat,USGS,summer,0.25
15,"-","-",normal,soil_heat,USGS,summer,0.25
16,"-","-",normal,soil_heat,USGS,summer,0.25
17,"-","-",normal,soil_heat,USGS,summer,0.25
21,"-","-",normal,soil_heat,USGS,summer,0.15
22,"-","-",normal,soil_heat,USGS,summer,0.15
23,"-","-",normal,soil_heat,USGS,summer,0.15
24,"-","-",normal,soil_heat,USGS,summer,0.15
31,"-","-",normal,soil_heat,USGS,summer,0.15
32,"-","-",normal,soil_heat,USGS,summer,0.15
33,"-","-",normal,soil_heat,USGS,summer,0.15
41,"-","-",normal,soil_heat,USGS,summer,0.15
42,"-","-",normal,soil_heat,USGS,summer,0.15
43,"-","-",normal,soil_heat,USGS,summer,0.15
51,"-","-",normal,soil_heat,USGS,summer,1
52,"-","-",normal,soil_heat,USGS,summer,1
53,"-","-",normal,soil_heat,USGS,summer,1
54,"-","-",normal,soil_heat,USGS,summer,1
55,"-","-",normal,soil_heat,USGS,summer,1
61,"-","-",normal,soil_heat,USGS,summer,0.25
62,"-","-",normal,soil_heat,USGS,summer,0.25
71,"-","-",normal,soil_heat,USGS,summer,0.15
72,"-","-",normal,soil_heat,USGS,summer,0.15
73,"-","-",normal,soil_heat,USGS,summer,0.15
74,"-","-",normal,soil_heat,USGS,summer,0.15
75,"-","-",normal,soil_heat,USGS,summer,0.15
76,"-","-",normal,soil_heat,USGS,summer,0.15
77,"-","-",normal,soil_heat,USGS,summer,0.15
81,"-","-",normal,soil_heat,USGS,summer,0.15
82,"-","-",normal,soil_heat,USGS,summer,0.15
83,"-","-",normal,soil_heat,USGS,summer,0.15
84,"-","-",normal,soil_heat,USGS,summer,0.15
85,"-","-",normal,soil_heat,USGS,summer,0.15
91,"-","-",normal,soil_heat,USGS,summer,0.15
92,"-","-",normal,soil_heat,USGS,summer,0.15
11,"-","-",normal,soil_heat,USGS,fall,0.2
12,"-","-",normal,soil_heat,USGS,fall,0.25
13,"-","-",normal,soil_heat,USGS,fall,0.25
14,"-","-",normal,soil_heat,USGS,fall,0.25
15,"-","-",normal,soil_heat,USGS,fall,0.25
16,"-","-",normal,soil_heat,USGS,fall,0.25
17,"-","-",normal,soil_heat,USGS,fall,0.25
21,"-","-",normal,soil_heat,USGS,fall,0.15
22,"-","-",normal,soil_heat,USGS,fall,0.15
23,"-","-",normal,soil_heat,USGS,fall,0.15
24,"-","-",normal,soil_heat,USGS,fall,0.15
31,"-","-",normal,soil_heat,USGS,fall,0.15
32,"-","-",normal,soil_heat,USGS,fall,0.15
33,"-","-",normal,soil_heat,USGS,fall,0.15
41,"-","-",normal,soil_heat,USGS,fall,0.15
42,"-","-",normal,soil_heat,USGS,fall,0.15
43,"-","-",normal,soil_heat,USGS,fall,0.15
51,"-","-",normal,soil_heat,USGS,fall,1
52,"-","-",normal,soil_heat,USGS,fall,1
53,"-","-",normal,soil_heat,USGS,fall,1
54,"-","-",normal,soil_heat,USGS,fall,1
55,"-","-",normal,soil_heat,USGS,fall,1
61,"-","-",normal,soil_heat,USGS,fall,0.25
62,"-","-",normal,soil_heat,USGS,fall,0.25
71,"-","-",normal,soil_heat,USGS,fall,0.15
72,"-","-",normal,soil_heat,USGS,fall,0.15
73,"-","-",normal,soil_heat,USGS,fall,0.15
74,"-","-",normal,soil_heat,USGS,fall,0.15
75,"-","-",normal,soil_heat,USGS,fall,0.15
76,"-","-",normal,soil_heat,USGS,fall,0.15
77,"-","-",normal,soil_heat,USGS,fall,0.15
81,"-","-",normal,soil_heat,USGS,fall,0.15
82,"-","-",normal,soil_heat,USGS,fall,0.15
83,"-","-",normal,soil_heat,USGS,fall,0.15
84,"-","-",normal,soil_heat,USGS,fall,0.15
85,"-","-",normal,soil_heat,USGS,fall,0.15
91,"-","-",normal,soil_heat,USGS,fall,0.15
92,"-","-",normal,soil_heat,USGS,fall,0.15
