class,arid,airport,condition,parameter,type,season,value
92,"-","-",normal,bowen,NLCD16,winter without snow,0.2
93,"-","-",normal,bowen,NLCD16,winter without snow,0.2
94,"-","-",normal,bowen,NLCD16,winter without snow,0.2
95,"-","-",normal,bowen,NLCD16,winter without snow,0.1
96,"-","-",normal,bowen,NLCD16,winter without snow,0.1
97,"-","-",normal,bowen,NLCD16,winter without snow,0.1
98,"-","-",normal,bowen,NLCD16,winter without snow,0.1
99,"-","-",normal,bowen,NLCD16,winter without snow,0.1
11,"-","-",wet,bowen,NLCD16,winter without snow,0.1
12,"-","-",wet,bowen,NLCD16,winter without snow,0.5
21,"-","-",wet,bowen,NLCD16,winter without snow,0.4
22,"-","-",wet,bowen,NLCD16,winter without snow,0.6
23,"-","-",wet,bowen,NLCD16,winter without snow,0.8
24,"-","-",wet,bowen,NLCD16,winter without snow,1
31,no,"-",wet,bowen,NLCD16,winter without snow,1
31,yes,"-",wet,bowen,NLCD16,winter without snow,2
32,"-","-",wet,bowen,NLCD16,winter without snow,0.1
41,"-","-",wet,bowen,NLCD16,winter without snow,0.4
42,"-","-",wet,bowen,NLCD16,winter without snow,0.3
43,"-","-",wet,bowen,NLCD16,winter without snow,0.35
51,no,"-",wet,bowen,NLCD16,winter without snow,1
51,yes,"-",wet,bowen,NLCD16,winter without snow,1.5
52,no,"-",wet,bowen,NLCD16,winter without snow,1
52,yes,"-",wet,bowen,NLCD16,winter without snow,2
71,"-","-",wet,bowen,NLCD16,winter without snow,0.5
72,"-","-",wet,bowen,NLCD16,winter without snow,0.5
73,"-","-",wet,bowen,NLCD16,winter without snow,0.5
74,"-","-",wet,bowen,NLCD16,winter without snow,0.5
81,"-","-",wet,bowen,NLCD16,winter without snow,0.4
82,"-","-",wet,bowen,NLCD16,winter without snow,0.4
90,"-","-",wet,bowen,NLCD16,winter without snow,0.1
91,"-","-",wet,bowen,NLCD16,winter without snow,0.1
92,"-","-",wet,bowen,NLCD16,winter without snow,0.1
93,"-","-",wet,bowen,NLCD16,winter without snow,0.1
94,"-","-",wet,bowen,NLCD16,winter without snow,0.1
95,"-","-",wet,bowen,NLCD16,winter without snow,0.1
96,"-","-",wet,bowen,NLCD16,winter without snow,0.1
97,"-","-",wet,bowen,NLCD16,winter without snow,0.1
98,"-","-",wet,bowen,NLCD16,winter without snow,0.1
99,"-","-",wet,bowen,NLCD16,winter without snow,0.1
11,"-","-",dry,bowen,NLCD16,winter with snow,0.1
12,"-","-",dry,bowen,NLCD16,winter with snow,0.5
21,"-","-",dry,bowen,NLCD16,winter with snow,0.5
22,"-","-",dry,bowen,NLCD16,winter with snow,0.5
23,"-","-",dry,bowen,NLCD16,winter with snow,0.5
24,"-","-",dry,bowen,NLCD16,winter with snow,0.5
31,no,"-",dry,bowen,NLCD16,winter with snow,0.5
31,yes,"-",dry,bowen,NLCD16,winter with snow,
32,"-","-",dry,bowen,NLCD16,winter with snow,0.5
41,"-","-",dry,bowen,NLCD16,winter with snow,0.5
42,"-","-",dry,bowen,NLCD16,winter with snow,0.5
43,"-","-",dry,bowen,NLCD16,winter with snow,0.5
51,no,"-",dry,bowen,NLCD16,winter with snow,0.5
51,yes,"-",dry,bowen,NLCD16,winter with snow,
52,no,"-",dry,bowen,NLCD16,winter with snow,0.5
52,yes,"-",dry,bowen,NLCD16,winter with snow,
71,"-","-",dry,bowen,NLCD16,winter with snow,0.5
72,"-","-",dry,bowen,NLCD16,winter with snow,0.5
73,"-","-",dry,bowen,NLCD16,winter with snow,0.5
74,"-","-",dry,bowen,NLCD16,winter with snow,0.5
81,"-","-",dry,bowen,NLCD16,winter with snow,0.5
82,"-","-",dry,bowen,NLCD16,winter with snow,0.5
90,"-","-",dry,bowen,NLCD16,winter with snow,0.5
91,"-","-",dry,bowen,NLCD16,winter with snow,0.5
92,"-","-",dry,bowen,NLCD16,winter with snow,0.5
93,"-","-",dry,bowen,NLCD16,winter with snow,0.5
94,"-","-",dry,bowen,NLCD16,winter with snow,0.5
95,"-","-",dry,bowen,NLCD16,winter with snow,0.5
96,"-","-",dry,bowen,NLCD16,winter with snow,0.5
97,"-","-",dry,bowen,NLCD16,winter with snow,0.5
98,"-","-",dry,bowen,NLCD16,winter with snow,0.1
99,"-","-",dry,bowen,NLCD16,winter with snow,0.1
11,"-","-",normal,bowen,NLCD16,winter with snow,0.1
12,"-","-",normal,bowen,NLCD16,winter with snow,0.5
21,"-","-",normal,bowen,NLCD16,winter with snow,0.5
